,index,om,yr,tz,stf,stn,mag,inj,fat,loss,closs,slat,slon,len,wid,fc,p_elat,p_elon,Time,sDate,sTime,Predicted_Time
14,5182,390,1960.0,3,19,10,2,0,0,4,0,42.5,-94.2,1,200,0,44.45320020582008,-93.78748864059897,0.0,6/16/1960,13:00:00,1900-01-01 13:00:00
29,5130,339,1960.0,3,20,40,0,0,0,1,0,38.98,-97.15,0.1,10,1,0.057051480649958825,-0.12547354452699266,20.0,6/1/1960,20:00:00,1900-01-02 16:00:00
31,4801,9,1960.0,3,1,1,1,0,0,3,0,30.63,-88.1,0.1,10,0,4.6403569731910865,-11.252404405899396,16.0,2/4/1960,15:52:00,1900-01-02 07:52:00
76,20393,601,1960.0,3,29,33,1,0,0,3,0,37.8,-92.13,0.2,10,0,38.65222398148079,-98.38733283056858,3.0,11/19/1960,13:30:00,1900-01-01 16:30:00
105,20207,415,1960.0,3,17,33,2,0,0,5,0,39.17,-88.65,0.1,10,0,45.72218868029824,-96.80281803780359,3.0,6/23/1960,2:00:00,1900-01-01 05:00:00
130,5065,273,1960.0,3,40,76,1,0,0,0,0,36.3,-95.43,0.1,10,0,5.625509701111096,-12.86671161855914,17.0,5/19/1960,20:30:00,1900-01-02 13:30:00
141,4990,198,1960.0,3,5,14,2,4,0,3,0,35.45,-92.5,8.2,333,0,1.4380337153520575,-3.5186400138945406,19.0,5/6/1960,2:00:00,1900-01-01 21:00:00
215,20280,488,1960.0,3,19,15,0,0,0,0,0,42.6,-92.77,0.1,150,0,29.936530385330585,-88.90966117346997,12.0,7/24/1960,15:00:00,1900-01-02 03:00:00
223,5157,365,1960.0,3,48,49,0,0,0,4,0,34.83,-102.4,0.1,10,0,1.735770781995034,-5.0983452502571645,20.0,6/10/1960,19:45:00,1900-01-02 15:45:00
244,5398,607,1960.0,3,20,55,2,0,0,2,0,37.4,-98.43,27.9,10,1,36.05387627981677,-85.98398061324521,2.0,11/27/1960,19:00:00,1900-01-01 21:00:00
256,4869,77,1960.0,3,5,6,3,3,0,5,0,35.47,-94.28,13.6,833,0,0.24680742345141712,-0.7156932438939658,20.0,4/15/1960,15:00:00,1900-01-02 11:00:00
282,5199,407,1960.0,3,31,27,1,0,0,0,0,41.23,-103.65,0.4,10,0,0.0794561535259121,-0.1992986292413491,21.0,6/20/1960,21:53:00,1900-01-02 18:53:00
305,4859,67,1960.0,3,13,2,1,0,0,3,0,30.75,-84.5,0.5,33,0,39.511991270495336,-93.90416615689918,2.0,4/12/1960,12:00:00,1900-01-01 14:00:00
308,4984,192,1960.0,3,48,25,0,0,0,3,0,32.95,-96.9,0.1,10,0,33.00107602697708,-99.55604844243507,0.0,5/5/1960,23:30:00,1900-01-01 23:30:00
340,20090,298,1960.0,3,18,8,2,0,0,3,0,41.57,-86.77,0.1,10,0,39.40430563635408,-98.9255716431885,4.0,5/22/1960,16:30:00,1900-01-01 20:30:00
342,19833,41,1960.0,3,12,9,1,0,0,1,0,28.05,-82.48,0.1,10,0,3.7167088108730724,-7.613397444445863,46.0,3/17/1960,16:30:00,1900-01-03 14:30:00
347,20306,514,1960.0,3,19,17,1,0,0,0,0,41.2,-95.13,0.1,10,0,41.947197085955814,-102.16913606676397,3.0,8/8/1960,11:00:00,1900-01-01 14:00:00
387,4912,120,1960.0,3,40,18,2,1,0,3,0,35.17,-97.95,3.6,200,0,45.73816209840109,-97.9874248352646,2.0,4/28/1960,19:45:00,1900-01-01 21:45:00
422,5262,470,1960.0,3,1,8,0,0,0,0,0,31.65,-86.6,0.1,10,0,43.561094514475705,-98.50823373316274,3.0,7/6/1960,21:00:00,1900-01-02 00:00:00
473,4878,86,1960.0,3,18,3,1,0,0,3,0,39.83,-86.1,0.1,10,1,0.007937887943420444,-0.018209938208992617,18.0,4/16/1960,16:30:00,1900-01-02 10:30:00
483,5134,342,1960.0,3,12,16,2,0,0,3,0,30,-81.68,0.1,10,0,35.205358431131614,-92.02384272745257,2.0,6/4/1960,19:15:00,1900-01-01 21:15:00
486,5011,219,1960.0,3,20,17,0,0,0,0,0,37.13,-102,1,200,0,0.11268437026560903,-0.3442536421027358,21.0,5/16/1960,1:10:00,1900-01-01 22:10:00
498,4896,104,1960.0,3,17,10,1,4,0,4,0,37.05,-89.2,1,60,0,39.279397850220114,-96.0828429505414,1.0,4/21/1960,18:40:00,1900-01-01 19:40:00
523,5013,221,1960.0,3,20,19,1,0,0,4,0,39.5,-97.07,4.7,250,0,0.3148216097023962,-0.7600561795897397,20.0,5/16/1960,2:00:00,1900-01-01 22:00:00
546,19915,123,1960.0,3,40,21,2,0,0,5,0,35.18,-97.95,2,300,0,0.2396788343725235,-0.563897630721229,42.0,4/28/1960,20:55:00,1900-01-03 14:55:00
572,5396,604,1960.0,3,28,8,1,0,0,4,0,31.72,-89.22,0.1,10,1,33.00002138198659,-80.16307507293445,1.0,11/27/1960,18:30:00,1900-01-01 19:30:00
574,19809,17,1960.0,3,29,2,2,0,0,4,0,37.7,-90.55,9.3,100,0,38.97276716491504,-88.06824204245557,1.0,2/9/1960,20:45:00,1900-01-01 21:45:00
586,5102,310,1960.0,3,31,11,1,0,0,4,0,41.85,-103.07,0.1,10,0,34.87612129166654,-99.95393893420177,1.0,5/24/1960,18:45:00,1900-01-01 19:45:00
598,19802,10,1960.0,3,22,2,2,8,0,5,0,29.8,-90.8,4.3,100,0,29.141133157231533,-95.0991070258696,1.0,2/4/1960,18:00:00,1900-01-01 19:00:00
603,5266,474,1960.0,3,19,13,2,0,0,5,0,43.4,-95.1,1,300,0,33.72153247921249,-98.23024249374605,2.0,7/12/1960,16:00:00,1900-01-01 18:00:00
614,5070,278,1960.0,3,29,17,1,0,0,4,0,37.35,-94.47,1.5,17,0,0.020334514472034382,-0.05529871483803183,20.0,5/19/1960,22:15:00,1900-01-02 18:15:00
648,5169,377,1960.0,3,31,15,1,0,0,4,0,40.83,-100.03,11,10,0,0.0,0.0,21.0,6/15/1960,1:00:00,1900-01-01 22:00:00
660,19864,72,1960.0,3,40,11,1,0,0,3,0,36.65,-102.63,0.2,300,1,4.782440031953539,-11.25753845852433,54.0,4/12/1960,20:00:00,1900-01-04 02:00:00
663,20255,463,1960.0,3,38,3,0,0,0,0,0,46.7,-100.2,0.1,10,0,32.79356351570421,-96.46805022698862,13.0,7/3/1960,15:15:00,1900-01-02 04:15:00
680,5146,354,1960.0,3,22,8,1,0,0,4,0,30.75,-92.4,1,33,0,39.02284208962431,-85.49902101240495,2.0,6/9/1960,16:00:00,1900-01-01 18:00:00
